Datetime,tradingsymbol,close,MA_5,MA_15,signal,return,strategy_return,cumulative_return,ma_fast,ma_slow,position,returns,strategy_returns,drawdown
2025-12-30 09:15:00,ADANIENSOL,1004.55,,,0,,,1.0,,,0.0,0.0,0.0,0.0
2025-12-30 09:20:00,ADANIENSOL,1004.05,,,0,-0.0004977353043651,-0.0,1.0,,,0.0,-0.0004977353043651433,-0.0,0.0
2025-12-30 09:25:00,ADANIENSOL,1004.1,,,0,4.979831681706237e-05,0.0,1.0,,,0.0,4.979831681706237e-05,0.0,0.0
2025-12-30 09:30:00,ADANIENSOL,1004.35,,,0,0.0002489791853401,0.0,1.0,,,0.0,0.00024897918534017016,0.0,0.0
2025-12-30 09:35:00,ADANIENSOL,1003.9,1004.19,,0,-0.0004480509782446,-0.0,1.0,1004.1899999999999,,0.0,-0.0004480509782446296,-0.0,0.0
2025-12-30 09:40:00,ADANIENSOL,1003.6,1004.0,,0,-0.0002988345452733,-0.0,1.0,1004.0,,0.0,-0.00029883454527335207,-0.0,0.0
2025-12-30 09:45:00,ADANIENSOL,999.7,1003.13,,0,-0.0038860103626943,-0.0,1.0,1003.1299999999999,,0.0,-0.0038860103626943143,-0.0,0.0
2025-12-30 09:50:00,ADANIENSOL,999.45,1002.2,,0,-0.0002500750225067,-0.0,1.0,1002.2,,0.0,-0.00025007502250673497,-0.0,0.0
2025-12-30 09:55:00,ADANIENSOL,1001.25,1001.58,,0,0.0018009905447995,0.0,1.0,1001.5799999999999,,0.0,0.0018009905447995411,0.0,0.0
2025-12-30 10:00:00,ADANIENSOL,1001.35,1001.07,,0,9.987515605502928e-05,0.0,1.0,1001.07,,0.0,9.987515605502928e-05,0.0,0.0
2025-12-30 10:05:00,ADANIENSOL,1003.85,1001.12,,0,0.0024966295501074,0.0,1.0,1001.1200000000001,,0.0,0.002496629550107432,0.0,0.0
2025-12-30 10:10:00,ADANIENSOL,1004.85,1002.15,,0,0.0009961647656522,0.0,1.0,1002.15,,0.0,0.0009961647656522299,0.0,0.0
2025-12-30 10:15:00,ADANIENSOL,1007.65,1003.7900000000002,,0,0.0027864855451062,0.0,1.0,1003.7900000000002,,0.0,0.0027864855451062986,0.0,0.0
2025-12-30 10:20:00,ADANIENSOL,1008.5,1005.24,,0,0.0008435468664715,0.0,1.0,1005.2400000000001,,0.0,0.0008435468664715895,0.0,0.0
2025-12-30 10:25:00,ADANIENSOL,1006.2,1006.21,1003.8233333333334,1,-0.0022806147744174,-0.0,1.0,1006.21,1003.8233333333334,0.0,-0.002280614774417433,-0.0,0.0
2025-12-30 10:30:00,ADANIENSOL,1005.15,1006.47,1003.8633333333332,1,-0.0010435301132976,-0.0010435301132976,0.9989564698867024,1006.47,1003.8633333333333,1.0,-0.0010435301132976083,-0.0010435301132976083,-0.0010435301132976083
2025-12-30 10:35:00,ADANIENSOL,1005.95,1006.69,1003.99,1,0.0007959011092872,0.0007959011092872,0.9997515404492149,1006.6899999999999,1003.99,1.0,0.0007959011092872892,0.0007959011092872892,-0.0002484595507851184
2025-12-30 10:40:00,ADANIENSOL,1006.5,1006.46,1004.15,1,0.0005467468562054,0.0005467468562054,1.0002981514609421,1006.46,1004.15,1.0,0.0005467468562054822,0.0005467468562054822,0.0
2025-12-30 10:45:00,ADANIENSOL,1005.3,1005.82,1004.2133333333334,1,-0.0011922503725783,-0.0011922503725783,0.9991055456171735,1005.82,1004.2133333333334,1.0,-0.0011922503725783073,-0.0011922503725783073,-0.0011922503725783073
2025-12-30 10:50:00,ADANIENSOL,1005.75,1005.73,1004.3366666666666,1,0.0004476275738585,0.0004476275738585,0.9995527728085867,1005.7300000000001,1004.3366666666666,1.0,0.00044762757385852225,0.00044762757385852225,-0.0007451564828614421
2025-12-30 10:55:00,ADANIENSOL,1005.75,1005.85,1004.48,1,0.0,0.0,0.9995527728085867,1005.85,1004.48,1.0,0.0,0.0,-0.0007451564828614421
